country,year,production,export,domestic_consumption,gross_opening_stock,coffee_type
Angola,1990,50345,84.35,20.0,210.0,Brazilan Naturals
Angola,1990,50345,84.35,20.0,210.0,Robustas
Bolivia (Plurinational State of),1990,122777,156442,25.0,54.0,Other Milds
Brazil,1990,27285.6286,16935.7876003,8200.0,26926.0,Brazilan Naturals
Brazil,1990,27285.6286,16935.7876003,8200.0,26926.0,Robustas
Burundi,1990,487393,584773,2.0,77.0,Other Milds
Burundi,1990,487393,584773,2.0,77.0,Robustas
Ecuador,1990,1503815,1783.7159997,350.0,723963,Other Milds
Ecuador,1990,1503815,1783.7159997,350.0,723963,Robustas
Indonesia,1990,7441383,6903.2269994,1242.0,1319.0,Brazilan Naturals
Indonesia,1990,7441383,6903.2269994,1242.0,1319.0,Robustas
Madagascar,1990,982447,863.0399999,350.0,544.0,Other Milds
Madagascar,1990,982447,863.0399999,350.0,544.0,Robustas
Malawi,1990,104628,124154,2.0,20.0,Other Milds
Papua New Guinea,1990,962841,1050719,3.0,199.0,Other Milds
Papua New Guinea,1990,962841,1050719,3.0,199.0,Robustas
Peru,1990,936632,1105078,190.0,318.0,Other Milds
Rwanda,1990,534875,779.15,1.0,134.0,Other Milds
Zimbabwe,1990,251901,250772,8.0,160.0,Other Milds
Congo,1990,2924,1.68,3.0,12.0,Robustas
Cuba,1990,414212,181.7789999,213.0,265.7,Other Milds
Dominican Republic,1990,880062,535207,320.0,560.0,Other Milds
Haiti,1990,392.88,191445,220.0,47.0,Other Milds
Philippines,1990,973632,168.282001,720.0,1223.0,Brazilan Naturals
Philippines,1990,973632,168.282001,720.0,1223.0,Robustas
Tanzania,1990,931779,1019.0519998,4.0,450.0,Colombian Milds
Tanzania,1990,931779,1019.0519998,4.0,450.0,Robustas
Zambia,1990,22686,24.36,1.5,1.0,Other Milds
Cameroon,1990,1682484,2611.2590004,83.3,1344.0,Other Milds
Cameroon,1990,1682484,2611.2590004,83.3,1344.0,Robustas
Central African Republic,1990,175274,196698,28.0,55.0,Robustas
Colombia,1990,14396.0,13943.8700004,1235.0,3720797,Colombian Milds
Costa Rica,1990,2561885,2265644,375.0,343.0,Other Milds
Côte d'Ivoire,1990,2940363,4282.8659998,50.0,4796.0,Robustas
Democratic Republic of Congo,1990,1580296,1838636,200.0,116.0,Other Milds
Democratic Republic of Congo,1990,1580296,1838636,200.0,116.0,Robustas
